Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6153,La MOUTIERE (MO),WW1,44.31533,6.79622,JN34JH
FBOTA,227,B/F-6154,La MOUTIERE Est 2,WW1,44.31518,6.79719,JN34JH
FBOTA,227,B/F-6155,LAUZAROUOTTE 1,WW1,44.31355,6.86774,JN34KH
FBOTA,227,B/F-6156,LAUZAROUOTTE 2,WW1,44.31316,6.86856,JN34KH
FBOTA,227,B/F-6157,LAUZAROUOTTE 3,WW1,44.31254,6.86866,JN34KH
FBOTA,227,B/F-6158,ROCHER du PRETRE,WW1,44.31167,6.86403,JN34KH
FBOTA,227,B/F-6159,La MOUTIERE (73° BAF),WW1,44.31104,6.78979,JN34JH
FBOTA,227,B/F-6160,LAS PLANAS - TETE de VINAIGRE,WW1,44.30686,6.88074,JN34KH
FBOTA,227,B/F-6161,TETE de VINAIGRE,WW1,44.30664,6.88050,JN34KH
FBOTA,227,B/F-6162,SAINT DALMAS le SELVAGE (SD),WW1,44.28385,6.86006,JN34KG
FBOTA,227,B/F-6163,COL de la BRAÏSSA 2,WW1,44.27941,6.78782,JN34JG
FBOTA,227,B/F-6164,COL de la BRAÏSSA,WW1,44.27632,6.78402,JN34JG
FBOTA,227,B/F-6165,CABANE de l'ESTROP,WW1,44.22378,6.78998,JN34JF
FBOTA,227,B/F-6166,COL de PAL Nord,WW1,44.19693,6.83713,JN34KE
FBOTA,227,B/F-6167,COL de PAL 3,WW1,44.19558,6.84560,JN34KE
FBOTA,227,B/F-6168,COL de PAL 2,WW1,44.19466,6.84699,JN34KE
FBOTA,227,B/F-6169,ISOLA,WW1,44.18480,7.04936,JN34ME
FBOTA,227,B/F-6170,COL de CROUS (C),WW1,44.16689,6.90645,JN34KE
FBOTA,227,B/F-6171,COL de CROUS (Abris Alpins),WW1,44.16167,6.90420,JN34KD
FBOTA,227,B/F-6172,MONTAGNE HAUTE,WW1,44.15533,7.02764,JN34MD
FBOTA,227,B/F-6173,MONT PENAFAYSSE,WW1,44.15373,7.05737,JN34MD
FBOTA,227,B/F-6174,MONT GRAVIERES Nord,WW1,44.15047,7.05704,JN34MD
FBOTA,227,B/F-6175,MONT GRAVIERES Ouest 2,WW1,44.14975,7.05413,JN34MD
FBOTA,227,B/F-6176,MONT GRAVIERES Ouest,WW1,44.14966,7.05478,JN34MD
FBOTA,227,B/F-6177,Les GOURCS,WW1,44.14605,7.05607,JN34MD
FBOTA,227,B/F-6178,Les PORTES de LONGON,WW1,44.14433,7.02266,JN34MD
FBOTA,227,B/F-6179,VACHERIE de ROURE,WW1,44.13909,7.04920,JN34MD
FBOTA,227,B/F-6180,CRÊTE de TOUSSAINT,WW1,44.13410,7.07845,JN34MD
FBOTA,227,B/F-6181,VALABRES Principal (ou Nord) (VP),WW1,44.13057,7.09915,JN34ND
FBOTA,227,B/F-6182,MONT AUTCELLIER 1,WW1,44.13043,7.03856,JN34MD
FBOTA,227,B/F-6183,VALABRES,WW1,44.13032,7.09889,JN34ND
FBOTA,227,B/F-6184,MONT AUTCELLIER 2,WW1,44.12860,7.04169,JN34MD
FBOTA,227,B/F-6185,MONT AUTCELLIER 3,WW1,44.12616,7.04888,JN34MD
FBOTA,227,B/F-6186,VALABRES Annexe (ou Sud) (VA),WW1,44.12401,7.09091,JN34NC
FBOTA,227,B/F-6187,O44 - Le COLLET,WW1,44.12084,7.08709,JN34NC
FBOTA,227,B/F-6188,Le COLLET 1,WW1,44.12032,7.08659,JN34NC
FBOTA,227,B/F-6189,Le COLLET 2,WW1,44.11997,7.08607,JN34NC
FBOTA,227,B/F-6190,ROURE - Le TIECS 2,WW1,44.11778,7.08601,JN34NC
FBOTA,227,B/F-6191,ROURE - CHAPELLE Ste ANNE 1,WW1,44.11549,7.08300,JN34MC
FBOTA,227,B/F-6192,ROURE - CHAPELLE Ste ANNE 2,WW1,44.11494,7.08397,JN34NC
FBOTA,227,B/F-6193,ROURE - La BARRE,WW1,44.09870,7.08901,JN34NC
FBOTA,227,B/F-6194,ROURE - La CERISE,WW1,44.09520,7.07048,JN34MC
FBOTA,227,B/F-6195,O43 - BERGHIN,WW1,44.09231,7.10110,JN34NC
FBOTA,227,B/F-6196,CHAPELLE SAINT SAUVEUR,WW1,44.08951,7.10742,JN34NC
FBOTA,227,B/F-6197,ROURE - Le PLANTIER Nord,WW1,44.08924,7.09714,JN34NC
FBOTA,227,B/F-6198,ROURE - Le PLANTIER Sud,WW1,44.08918,7.09709,JN34NC
